open,high,low,close,date,volume
2661.45,2675.6,2515.71,2569.89,15-08-2024 00:00,356546.8059
2569.9,2630.97,2550.04,2592.73,16-08-2024 00:00,270684.1373
2592.72,2629.69,2587.5,2614.51,17-08-2024 00:00,89348.676
2614.51,2689.16,2594.53,2612.15,18-08-2024 00:00,174074.0585
2612.15,2648.08,2563.58,2636.36,19-08-2024 00:00,224867.1336
2636.36,2695.0,2555.0,2572.82,20-08-2024 00:00,281315.8751
2572.81,2663.74,2536.22,2630.71,21-08-2024 00:00,245286.6218
2630.71,2644.69,2584.2,2622.88,22-08-2024 00:00,199063.1196
2622.89,2799.13,2621.4,2762.48,23-08-2024 00:00,401786.4447
2762.49,2820.0,2731.26,2768.0,24-08-2024 00:00,263542.9441
2768.01,2792.28,2733.21,2746.13,25-08-2024 00:00,154527.2352
2746.12,2762.0,2666.66,2680.49,26-08-2024 00:00,211708.1247
2680.49,2699.98,2392.96,2457.33,27-08-2024 00:00,412660.7197
2457.33,2554.6,2418.8,2528.33,28-08-2024 00:00,451266.634
2528.33,2595.4,2505.88,2527.61,29-08-2024 00:00,237002.9632
2527.6,2552.17,2431.14,2526.0,30-08-2024 00:00,338379.1941
2525.99,2533.95,2491.92,2513.01,31-08-2024 00:00,97946.1147
2513.0,2516.28,2400.0,2425.72,01-09-2024 00:00,223127.776
2425.71,2564.83,2423.52,2538.01,02-09-2024 00:00,262632.8385
2538.0,2553.6,2411.12,2425.29,03-09-2024 00:00,224793.1299
2425.28,2490.0,2306.65,2450.71,04-09-2024 00:00,384179.3854
2450.71,2466.0,2348.04,2368.81,05-09-2024 00:00,278549.0969
2368.81,2408.83,2150.55,2225.23,06-09-2024 00:00,643027.111
2225.24,2311.27,2220.98,2273.58,07-09-2024 00:00,219453.2076
2273.58,2333.58,2240.94,2297.3,08-09-2024 00:00,192775.6493
2297.3,2381.41,2272.8,2359.5,09-09-2024 00:00,321698.99
2359.51,2400.0,2320.41,2388.52,10-09-2024 00:00,224382.1729
2388.52,2389.32,2277.68,2340.55,11-09-2024 00:00,282898.3125
2340.54,2391.93,2315.39,2361.76,12-09-2024 00:00,202611.1308
2361.75,2464.82,2337.35,2439.19,13-09-2024 00:00,253888.616
2439.19,2440.6,2376.72,2417.79,14-09-2024 00:00,122931.2302
2417.8,2430.32,2283.75,2316.1,15-09-2024 00:00,174364.1946
2316.09,2335.7,2252.39,2295.68,16-09-2024 00:00,330555.232
2295.67,2393.63,2263.29,2341.8,17-09-2024 00:00,274206.2588
2341.79,2376.14,2277.34,2374.75,18-09-2024 00:00,292917.6008
2374.74,2494.95,2372.6,2465.21,19-09-2024 00:00,326746.032
2465.21,2571.93,2437.31,2561.4,20-09-2024 00:00,340754.5912
2561.4,2623.34,2528.97,2612.4,21-09-2024 00:00,154757.8773
2612.4,2632.57,2524.58,2581.0,22-09-2024 00:00,214266.3257
2580.99,2702.82,2539.49,2646.97,23-09-2024 00:00,333282.0149
2646.98,2670.96,2591.56,2653.2,24-09-2024 00:00,288600.0402
2653.2,2673.5,2554.05,2579.95,25-09-2024 00:00,220343.4293
2580.09,2666.22,2559.2,2632.26,26-09-2024 00:00,278686.3573
2632.25,2728.6,2615.21,2694.43,27-09-2024 00:00,281826.9792
2694.43,2704.35,2650.0,2675.21,28-09-2024 00:00,137230.0342
2675.21,2683.7,2629.73,2657.62,29-09-2024 00:00,160554.3146
